carrierid	component	quantity	timeatfirstload	maxtotaltime	previouspauses	aux2	package	phs_nom_height
004256	DDXX_1587	300	2023-12-21 10:20:49.645447	3	0	2.6000000000000000	MXL1105L	2600
004257	DDXX_1587	300	2023-12-21 10:21:35.017518	3	0	2.6000000000000000	MXL1105L	2600
000796	DARA_1422	2	2023-01-31 11:06:42.653819	7	0	0.78000000000000000000	QFN12-3X3	780
004093	DASP_1185	92	2023-12-12 10:01:13.292913	7	64.1962841642245	2.5000000000000000	BGA25-5x5-2.5	2500
002188	DXXX_0944	22	2023-04-03 09:36:11.509146	7	435.889471515451	1.6000000000000000	BGA256-17x17-1.0	1600
002514	DARA_0749	100	2023-05-22 10:16:03.103161	7	0	0.78000000000000000000	QFN12-3X3	780
005660	VTAF_0214	17	2024-09-10 11:11:22.821245	7	0	2.1500000000000000	TO-270-2_REF	2150
003505	DASP_1692	28	2023-09-19 08:28:56.167152	365	17.3624510653356	0.78000000000000000000	QFN12-3X2-simetric	780
001266	DDAT_1466	4	2023-02-13 13:18:34.895994	7	114.083436346759	0.75000000000000000000	WSON_8X6	750
005566	DASP_1739	40	2024-08-20 12:02:45.849964	7	0.000214518206018519	2.0000000000000000	QFN11-3.6X4.5_REF	2000
003899	DAKO_1651	15	2023-10-25 15:44:05.249585	365	236.02167001566	1.00000000000000000000	SOT-353	1000
002538	DDAT_1671	50	2023-05-26 09:13:35.051652	7	0	1.1000000000000000	BGA96-14x8-0.8	1100
004258	DDXX_1587	300	2023-12-21 10:22:09.355455	3	0	2.6000000000000000	MXL1105L	2600
002821	DDPR_1155	240	2023-06-28 08:34:43.923677	7	0	1.4000000000000000	LQFP144-0.50	1400
002053	DXXX_1189	12	2023-03-23 11:01:41.533324	0	454.279498929988	0.90000000000000000000	QFN32-5X5	900
001662	DXXX_1333	170	2023-02-27 10:37:23.935407	7	3.27818536275463	1.1000000000000000	TSSOP20	1100
004259	DDXX_1587	300	2023-12-21 10:22:39.842385	3	0	2.6000000000000000	MXL1105L	2600
004260	DDXX_1587	300	2023-12-21 10:23:18.00163	3	0	2.6000000000000000	MXL1105L	2600
001506	DARA_1241	2	2023-02-21 13:10:44.961462	7	28.0923481020833	0.90000000000000000000	QFN24-5X5	900
001328	DXXX_1157	189	2023-02-14 13:37:29.111361	3	0	2.6500000000000000	BGA1440-38x38-0.8	2650
